Port_IDs,total_profit,total_positions,win_positions,win_rate,avg_trade,fees,ROI,sharpe_ratio,MDD,rank
3672754654734989568,565.5477615,461,206,0.44685466377440347,1.2267847321041214,-35.38237731,5.655477615,-0.034672196312750286,-125.68237944180001,2.022553360820551
3733192481840423936,2284.8211548500003,585,456,0.7794871794871795,3.9056771877777785,-436.05966125,22.848211548500004,-0.00895674958005022,-125.68237944180001,7.872913992802378
3768170840939476993,243.66889897,13,6,0.46153846153846156,18.743761459230768,-0.88843822,2.4366889897,-21.097428090420028,-125.68237944180001,-6.066400213060522
3784403294629753856,2493.61889803,5833,1767,0.30293159609120524,0.4275019540596605,-354.83868137,24.9361889803,-0.001204778330279873,-125.68237944180001,8.412638599353642
3786761687746711808,170.22019999,79,34,0.43037974683544306,2.154686075822785,-28.3730396,1.7022019999,-0.0759413198655947,-125.68237944180001,0.685546808956616
3788465932399412480,13209.20607365,2759,1249,0.4527002537151142,4.787678895849946,-695.26617747,132.0920607365,-0.006886109307476746,-125.68237944180001,44.17929162696921
3818233536529843712,5956.6957636,1313,424,0.32292460015232294,4.5367065983244474,-384.28450643,59.566957636,-0.01180559331020242,-125.68237944180001,19.959358880947374
3819545518395756033,976.85638996,63,25,0.3968253968253968,15.505656983492063,-56.47550671,9.7685638996,-0.2745554291900936,-125.68237944180001,3.2969446224117678
3826087012661391104,527.00938446,107,62,0.5794392523364486,4.925321350093458,-2.2511080900000002,5.2700938446,-2.1879541777549463,-125.68237944180001,1.220526306393834
3858510226868015873,-237.66359218999997,889,242,0.2722159730033746,-0.26733812394825646,-216.981884,-2.3766359218999997,0.0012320757798759663,-125.68237944180001,-0.7010626243722498
3865845304835489536,1752.43926839,822,408,0.49635036496350365,2.131921251082725,-110.19468555,17.5243926839,-0.01934686088028612,-125.68237944180001,6.000465395994406
3878631538480067329,3908.22368975,2790,1408,0.5046594982078854,1.4007970214157708,-199.93213672,39.0822368975,-0.007006362480772925,-125.68237944180001,13.193296677742373
3879821005658659073,4129.76356712,820,267,0.325609756097561,5.03629703307317,-101.07325008,41.2976356712,-0.04982818924974625,-125.68237944180001,13.85780574601594
3880920727367689984,-258.61166665,142,46,0.323943661971831,-1.8212089200704227,-55.43831302,-2.5861166665,0.03285108836939899,-125.68237944180001,-0.7431073053862568
3886752488982104320,7250.300182,1202,899,0.7479201331114809,6.031863712146422,-300.80099556,72.50300182000001,-0.020052672036264128,-125.68237944180001,24.41028976035841
3887577207880438784,2374.46352174,5726,2734,0.47747118407265104,0.41468102021306325,-454.16011015,23.744635217400003,-0.0009130723085215529,-125.68237944180001,8.073731109721377
3891020560590657281,2805.66419055,414,277,0.6690821256038647,6.77696664384058,-68.95860517,28.0566419055,-0.09827586603780171,-125.68237944180001,9.542482721688687
3907081197088384000,16989.11413284,3951,2409,0.6097190584662111,4.299952956932422,-606.98683897,169.8911413284,-0.007084095866442576,-125.68237944180001,56.83125876366659
3910887259807777281,1795.1584100100001,67,16,0.23880597014925373,26.793409104626868,-100.41641993,17.9515841001,-0.2668229869507843,-125.68237944180001,5.974522361099489
3910983669796782848,6713.33172472,633,270,0.4265402843601896,10.605579343949447,-191.47978977,67.1333172472,-0.055387460769037625,-125.68237944180001,22.501490023597047
3911997667197443328,633.23870636,64,30,0.46875,9.894354786875,-30.45138488,6.332387063600001,-0.32492298218507165,-125.68237944180001,2.1587380271383094
3914654298562589441,1265.0721161400002,470,195,0.4148936170212766,2.6916428002978727,-168.02652761,12.650721161400003,-0.016019153871615694,-125.68237944180001,4.349865208183221
3919174299855478272,1235.5844889900002,1161,547,0.47114556416882,1.0642415925839794,-1100.92005295,12.355844889900002,-0.0009666838111743557,-125.68237944180001,4.275341256752549
3919965573764932864,-70.37315359,1,0,0.0,-70.37315359,-0.50586087,-0.7037315359,139.11562993595453,-125.68237944180001,46.137299466684844
3923766029921022977,773.24106059,1236,354,0.28640776699029125,0.6255995635841424,-242.58817342,7.7324106059,-0.0025788543388758837,-125.68237944180001,2.672079839517138
3925368433214965504,6491.14426619,1341,440,0.32811334824757643,4.840525179858314,-742.536531,64.9114426619,-0.006518905101328024,-125.68237944180001,21.74434570168208
3926423286576838657,1270.79183061,463,153,0.3304535637149028,2.7446907788552917,-478.70448848,12.7079183061,-0.005733580622087614,-125.68237944180001,4.344212763064271
3930688517098515713,1945.62421995,268,128,0.47761194029850745,7.259791865485075,-254.24444853,19.4562421995,-0.028554377125872398,-125.68237944180001,6.635099920890879
3931992636670880512,10169.88944223,5672,2290,0.403737658674189,1.7929988438346263,-783.6692619,101.6988944223,-0.0022879535168797032,-125.68237944180001,34.033448042485766
3932103299427844097,3848.92417141,2520,761,0.30198412698412697,1.5273508616706348,-672.62286465,38.4892417141,-0.002270738837380132,-125.68237944180001,12.929651700748913
3935808725185052672,2068.70303844,1532,515,0.33616187989556134,1.350328354073107,-775.88873959,20.6870303844,-0.0017403633861043737,-125.68237944180001,7.007150633636485
3936410995029308417,10681.514,19,6,0.3157894736842105,562.184947368421,-176.24714699,106.81513999999999,-3.1897534625075012,-125.68237944180001,34.647058670392234
3937714876784951296,1114.5331340500002,485,182,0.3752577319587629,2.2980064619587632,-436.06192213,11.145331340500002,-0.005269908573383014,-125.68237944180001,3.8384397212951273
3939318616482048768,9406.8656064,190,109,0.5736842105263158,49.50981898105263,-442.62665428,94.06865606400001,-0.1118545810612963,-125.68237944180001,31.510161897821675
3939925275039085824,2366.28078491,5833,2115,0.36259214812274987,0.40567131577404425,-178.87247835,23.662807849100002,-0.0022679359033661215,-125.68237944180001,8.007710687106462
3941019213896463617,4342.39401225,103,48,0.46601941747572817,42.15916516747573,-209.88813118,43.4239401225,-0.20086493185896273,-125.68237944180001,14.56303153603892
3942630767220672256,6575.78316398,4751,1831,0.38539254893706587,1.3840840168343507,-555.73525141,65.7578316398,-0.002490545656988073,-125.68237944180001,22.046911214360026
3943533600390906881,2342.74840854,1728,939,0.5434027777777778,1.3557571808680555,-90.08094414,23.427484085400003,-0.015050432628248156,-125.68237944180001,7.985278810183178
3944088772635000577,7471.56897874,5811,2676,0.4605059370160041,1.2857630319635174,-508.23178259,74.7156897874,-0.002529875297076346,-125.68237944180001,25.057888616372978
3944239644144231424,-1173.1670782,814,221,0.2714987714987715,-1.441237196805897,-246.71973401,-11.731670782,0.005841596751832916,-125.68237944180001,-3.8181101379164653
3944658614777849089,2074.44997996,45,20,0.4444444444444444,46.09888844355555,-34.71080578,20.7444997996,-1.328084652823509,-125.68237944180001,6.620286530406978
3946087913459823360,-32.29951931000001,6041,1920,0.31782817414335374,-0.005346717316669427,-36.51253023,-0.3229951931000001,0.0001464351356367073,-125.68237944180001,-0.0016735279403365447
3949214983441029120,1301.45986774,4450,1652,0.3712359550561798,0.29246289162696626,-196.77689887,13.014598677399999,-0.00148626639258189,-125.68237944180001,4.461449455354532
3949329502284748801,428.19925519,371,70,0.18867924528301888,1.1541758899999999,-25.69970098,4.2819925519,-0.04491009023405376,-125.68237944180001,1.4752539023163218
3951723256343550465,5291.61958521,3222,1149,0.35661080074487894,1.6423400326536313,-1257.83777431,52.9161958521,-0.0013056850940532088,-125.68237944180001,17.757166989250276
3952087967771302912,1081.72347594,162,58,0.35802469135802467,6.6773054070370375,-84.61516316,10.8172347594,-0.07891381588913121,-125.68237944180001,3.6987818782896316
3953433416230728705,4915.08364666,510,108,0.21176470588235294,9.637418915019609,-338.46864929,49.1508364666,-0.02847359403961301,-125.68237944180001,16.444709192814248
3953764659057081857,5467.66071298,499,167,0.3346693386773547,10.957235897755512,-788.95349125,54.676607129800004,-0.013888316636250784,-125.68237944180001,18.33246271728037
3956048468100538880,1370.08150509,28,20,0.7142857142857143,48.93148232464286,-51.11736536,13.700815050900001,-0.9572379558304148,-125.68237944180001,4.4859542697851
3956076827719377409,16618.82917513,3833,1963,0.5121314896947561,4.335723760795721,-632.65180369,166.1882917513,-0.006853254405515345,-125.68237944180001,55.56452332886308
3957509601040585217,2317.88100518,1096,296,0.27007299270072993,2.1148549317335767,-451.22606169,23.1788100518,-0.004686907763733111,-125.68237944180001,7.814732045578999
3960874214179953664,19277.53925264,2231,1129,0.5060510981622591,8.640761655150156,-1932.55205973,192.7753925264,-0.0044711663065663395,-125.68237944180001,64.42565748608523
3962024093501274881,9417.35359449,1125,289,0.2568888888888889,8.37098097288,-2765.06578257,94.1735359449,-0.003027407530644556,-125.68237944180001,31.475799142086085
3966142151544441601,4783.05370744,1598,805,0.5037546933667084,2.9931500046558197,-457.79863906,47.8305370744,-0.006538136528325352,-125.68237944180001,16.109251210412793
3975304792994095360,2523.26110793,2360,1023,0.43347457627118646,1.0691784355635594,-314.93655244,25.2326110793,-0.0033949010595308825,-125.68237944180001,8.554230251503887
3975392755164484097,2382.9735969500002,1739,480,0.27602070155261643,1.370312591690627,-587.53610013,23.829735969500003,-0.002332303651447847,-125.68237944180001,8.034474789133725
3976088733682659585,6717.18973721,2740,1188,0.4335766423357664,2.4515291011715328,-190.44473767,67.17189737209999,-0.012872653406782541,-125.68237944180001,22.53086712034299
3977078013600312321,4667.77171509,4438,1536,0.34610184767913477,1.0517737077715186,-1201.50161952,46.6777171509,-0.00087538268004308,-125.68237944180001,15.674314538633032
3977116548751698176,491.84963032999997,1389,405,0.2915766738660907,0.35410340556515474,-1063.97086341,4.9184963032999995,-0.0003328130663562179,-125.68237944180001,1.7365800546999115
3977234346014419201,2427.29283086,71,33,0.4647887323943662,34.18722296985915,-28.24295185,24.272928308599997,-1.2104691871950752,-125.68237944180001,7.842415951266429
3978449781300392193,5851.1057143200005,617,258,0.4181523500810373,9.483153507811995,-1054.86290813,58.511057143200006,-0.008989939294218981,-125.68237944180001,19.640073184662274
3981810242465907713,2836.47282999,102,12,0.11764705882352941,27.808557156764703,-108.87346981,28.3647282999,-0.2554208771456873,-125.68237944180001,9.408984827192613
3983074113875692800,2424.82951996,42,14,0.3333333333333333,57.73403618952381,-31.24063764,24.2482951996,-1.8480428234154256,-125.68237944180001,7.577861903172636
3986814617275053313,15847.59634446,3390,2641,0.7790560471976401,4.674807181256638,-617.7256357,158.4759634446,-0.007567772666515931,-125.68237944180001,53.08248390637704
3987739404272887297,12435.873935149999,5665,1312,0.23159752868490732,2.1952116390379524,-1049.70595383,124.35873935149999,-0.0020912633971717637,-125.68237944180001,41.5294152055959
3988071780777702657,3422.7721085400003,2347,880,0.3749467405198125,1.4583605064081808,-273.86338266,34.227721085400006,-0.00532513873247059,-125.68237944180001,11.532447562395781
3988187872032603905,2651.03939323,5132,1688,0.3289166017147311,0.5165704195693687,-328.58342947,26.510393932299998,-0.00157211342155199,-125.68237944180001,8.945912806864392
3988205565930333696,3337.28491469,351,135,0.38461538461538464,9.50793422988604,-213.52324882,33.372849146899995,-0.04452880087967013,-125.68237944180001,11.237645243545238
3991414786174551297,1795.57782191,302,89,0.2947019867549669,5.9456219268543045,-97.49746581,17.9557782191,-0.0609823227450952,-125.68237944180001,6.063165961036624
3993014919980212480,3036.67211535,666,321,0.481981981981982,4.5595677407657655,-200.31596978,30.3667211535,-0.022761878375315653,-125.68237944180001,10.275313752368888
3993222640082269952,1897.38754265,2979,1373,0.46089291708627056,0.6369209609432696,-311.26616392,18.973875426499998,-0.0020462261394623275,-125.68237944180001,6.4775740391489345
3994879592543698688,3633.7262049299998,639,358,0.5602503912363067,5.686582480328638,-217.870385,36.337262049299994,-0.02610075931305963,-125.68237944180001,12.290470560407748
3995532094997544704,-12568.23794418,5584,1190,0.21310888252148996,-2.2507589441583096,-3128.88626057,-125.68237944180001,0.0007193482781787923,-125.68237944180001,-41.82285040366678
3996598927198996481,3463.09975456,2616,968,0.37003058103975534,1.3238148908868501,-154.90725508,34.6309975456,-0.008545854680616359,-125.68237944180001,11.664160757319713
3998572645139652353,9432.8412635,247,86,0.3481781376518219,38.18964074291498,-597.1606282,94.328412635,-0.0639520406059399,-125.68237944180001,31.5375462440153
3998659472131949824,1396.40673551,136,60,0.4411764705882353,10.267696584632354,-165.8515546,13.964067355100001,-0.06190895592987317,-125.68237944180001,4.781111623252788
3999240873283311617,42169.18968029,4371,2277,0.5209334248455731,9.647492491487075,-1855.23921156,421.6918968029,-0.005200133994243721,-125.68237944180001,140.7358766979171
3999845462424248576,5787.75513967,3219,1405,0.436470953712333,1.7979978688008698,-303.6114139,57.8775513967,-0.005922036479804654,-125.68237944180001,19.43603343797751
4000222729738650369,1807.27673748,934,525,0.5620985010706638,1.934985800299786,-89.08380621,18.0727673748,-0.021720960100631355,-125.68237944180001,6.204381638590012
4000877324693233921,-659.9771915699998,5581,2476,0.44364809173983155,-0.11825428983515496,-2952.65507253,-6.599771915699998,4.0050153820990705e-05,-125.68237944180001,-2.052027924602115
4002413037164645377,3569.10459052,555,94,0.16936936936936936,6.430819082018018,-54.66721185,35.6910459052,-0.11763576126149221,-125.68237944180001,11.914259837769293
4004410127575640832,2629.00368657,466,141,0.30257510729613735,5.641638812381974,-111.63975911,26.2900368657,-0.05053431552842387,-125.68237944180001,8.847359219155905
4004713168329653760,1667.19861,27,2,0.07407407407407407,61.74809666666666,-18.42288495,16.671986099999998,-3.3517061434325823,-125.68237944180001,4.4647846768804955
4006366295148391425,2935.9875995400002,664,112,0.1686746987951807,4.421668071596386,-54.14461542,29.359875995400003,-0.08166404059383355,-125.68237944180001,9.815628884533783
4008537296438699777,2330.24543558,524,245,0.4675572519083969,4.447033274007634,-137.39339822,23.302454355800002,-0.03236715396533726,-125.68237944180001,7.9125481512476865
4008711265867865600,10579.77814317,363,148,0.40771349862258954,29.145394333801654,-782.57110984,105.7977814317,-0.03724312585441668,-125.68237944180001,35.38941726815606
4008804082027254529,3562.54919471,853,454,0.5322391559202814,4.176493780433763,-1537.58863671,35.6254919471,-0.0027162621267612028,-125.68237944180001,12.051671613631173
4011626972687000576,5402.36941953,5699,2201,0.3862081066853834,0.9479504157799614,-950.13098719,54.02369419530001,-0.000997704978114136,-125.68237944180001,18.13630153233576
4012994295026226176,2508.81348843,616,249,0.4042207792207792,4.072749169529221,-79.51497187,25.088134884299997,-0.05121990329302774,-125.68237944180001,8.480378586742583
4013955990069013504,1679.90953935,354,233,0.6581920903954802,4.745507173305085,-74.47691818,16.7990953935,-0.06371782411613591,-125.68237944180001,5.797856553259781
4013978721149559808,3778.12362398,282,58,0.20567375886524822,13.397601503475178,-42.19502464,37.781236239799995,-0.3175161436160066,-125.68237944180001,12.556464618349745
4014818740371615232,2021.32165014,435,103,0.2367816091954023,4.646716437103448,-404.16947013,20.213216501399998,-0.011496950612347945,-125.68237944180001,6.812833719994352
4016164457907769600,3672.48814258,668,287,0.4296407185628742,5.497736740389222,-623.34363306,36.7248814258,-0.008819752779699984,-125.68237944180001,12.38190079719439
4017110277719148289,2855.87626248,241,135,0.5601659751037344,11.850108972946058,-297.86436804,28.5587626248,-0.03978357347984206,-125.68237944180001,9.693048342141298
4017263283405469185,5967.09232956,5879,1969,0.334920904915802,1.0149842370403128,-2267.64844304,59.6709232956,-0.0004475932943466445,-125.68237944180001,20.00179886907382
4017323550554338817,3121.13055186,516,254,0.49224806201550386,6.048702619883722,-67.67712658,31.211305518600003,-0.0893758781666602,-125.68237944180001,10.538059234149616
4019895412775450368,2554.97893444,541,220,0.4066543438077634,4.722696736487985,-122.33218882,25.549789344400004,-0.038605511615891853,-125.68237944180001,8.639279392197292
4020204877254599680,70638.37124428,5598,1832,0.3272597356198642,12.618501472718828,-11032.46942028,706.3837124428,-0.0011437603850977703,-125.68237944180001,235.5699428060116
4021243448368889856,1481.9623826499999,5873,2229,0.3795334581985357,0.25233481741018216,-858.83847188,14.819623826499997,-0.0002938094015022644,-125.68237944180001,5.06628782509901
4021669203289716224,26438.767141610002,1616,511,0.3162128712871287,16.360623231194307,-1525.79786874,264.38767141610003,-0.01072266750818368,-125.68237944180001,88.23105387329299
4022565861939831809,13807.94979679,631,332,0.526148969889065,21.88264627066561,-2575.54735559,138.0794979679,-0.008496309036279704,-125.68237944180001,46.19905020958427
4022641794255717633,2173.16818573,6038,2629,0.4354090758529314,0.35991523447002316,-23.52210798,21.7316818573,-0.01530114710705546,-125.68237944180001,7.383929928681958
4023616625178799873,2074.1179328,797,328,0.411543287327478,2.602406440150564,-113.89397654,20.741179327999998,-0.022849377282358644,-125.68237944180001,7.043291079348372
4023697433751327232,2408.22399998,42,4,0.09523809523809523,57.33866666619048,-26.81664319,24.0822399998,-2.1381746499715604,-125.68237944180001,7.346434481688845
4023697881318718465,3151.95061998,67,6,0.08955223880597014,47.0440391041791,-32.89286368,31.519506199799995,-1.4302202314109704,-125.68237944180001,10.059612735731665
4026179081117855488,6876.84129451,185,46,0.24864864864864866,37.17211510545946,-694.17240459,68.7684129451,-0.05354882282797525,-125.68237944180001,22.987837590306892
4027747397961573889,2629.8515600299997,341,99,0.2903225806451613,7.712174662844574,-599.29546792,26.2985156003,-0.012868735165996738,-125.68237944180001,8.858656481926387
4028427053699127040,2633.02381341,119,36,0.3025210084033613,22.126250532857142,-144.31822744,26.330238134099996,-0.15331570325762273,-125.68237944180001,8.826481146415246
4028701921959171840,15750.62151397,591,296,0.5008460236886633,26.650797823976312,-2033.75965882,157.5062151397,-0.013104202214060667,-125.68237944180001,52.66465232039153
4029299190618134272,3157.57256839,225,69,0.30666666666666664,14.03365585951111,-230.48506888,31.575725683900004,-0.0608874836348623,-125.68237944180001,10.607168288977268
4029422834086627072,2755.87330452,98,37,0.37755102040816324,28.12115616857143,-107.20771439,27.5587330452,-0.26230534181777576,-125.68237944180001,9.224659574596796
4029506971304830209,2413.6540000200002,50,3,0.06,48.27308000040001,-27.92412529,24.1365400002,-1.728723084396389,-125.68237944180001,7.48927230526787
4029507714735307777,1537.89995998,49,2,0.04081632653061224,31.385713468979592,-15.71904586,15.3789995998,-1.9966678479414777,-125.68237944180001,4.474382692796378
4029749871687083265,3538.24113884,828,355,0.428743961352657,4.2732380903864735,-56.50914305,35.3824113884,-0.07562029540255917,-125.68237944180001,11.9118450181167
4030392204221219329,1347.75800996,83,8,0.0963855421686747,16.238048312771085,-14.1754835,13.4775800996,-1.145502254845211,-125.68237944180001,4.1428211289744885
4030395639953224449,4424.09071098,451,86,0.19068736141906872,9.809513771574279,-433.65543404,44.2409071098,-0.022620525425422106,-125.68237944180001,14.802991315264547
4030555430101054209,3298.86079001,119,31,0.2605042016806723,27.721519243781515,-232.14764448,32.9886079001,-0.11941331261782319,-125.68237944180001,11.04323292972095
4030565764341697025,2401.57593396,102,49,0.4803921568627451,23.54486209764706,-147.7911531,24.0157593396,-0.15931171523992296,-125.68237944180001,8.112279927074274
4030626027667524352,3774.79887887,226,113,0.5,16.702649906504426,-504.18930879,37.7479887887,-0.033127735188572295,-125.68237944180001,12.738287017837143
4030635536196756737,2578.34975484,1269,668,0.5263987391646966,2.031796497115839,-0.29941134,25.783497548400003,-6.78597042154729,-125.68237944180001,6.50797528867247
4030708912786799105,1612.84376999,57,2,0.03508771929824561,28.29550473666667,-17.82092047,16.1284376999,-1.5877689810860072,-125.68237944180001,4.858585479370746
4031173908980084736,5345.31649571,217,79,0.3640552995391705,24.63279491110599,-444.43328992,53.4531649571,-0.055425179593409854,-125.68237944180001,17.920598359015255
4031181049693676544,4546.57189156,297,73,0.24579124579124578,15.308322867205387,-289.88339598,45.4657189156,-0.05280855364431276,-125.68237944180001,15.219567202582311
4031408429897920512,1351.26659997,82,4,0.04878048780487805,16.478860975243904,-13.65118582,13.5126659997,-1.2071376943020693,-125.68237944180001,4.118102931067603
4031414524297538817,2525.9744649,207,73,0.3526570048309179,12.202775192753624,-90.8517532,25.259744648999998,-0.13431524173111525,-125.68237944180001,8.492695470699934
4031451549482615297,3121.37771527,110,42,0.38181818181818183,28.37616104790909,-141.31552143,31.2137771527,-0.2008000307451372,-125.68237944180001,10.464931767924348
4031493134338259457,8887.1737933,1668,632,0.37889688249400477,5.328041842505995,-3789.7112106600002,88.871737933,-0.0014059229176932682,-125.68237944180001,29.749742964192105
4031673021422897664,1849.35183999,219,67,0.3059360730593607,8.444528949726028,-96.12377171,18.4935183999,-0.08785057847295771,-125.68237944180001,6.237201298162135
4032403303704824321,1996.85520656,142,55,0.3873239436619718,14.062360609577464,-252.73093178,19.968552065599997,-0.05564162847236532,-125.68237944180001,6.766744793596534
4033614723417828608,4568.37208011,437,111,0.2540045766590389,10.453940686750572,-775.31352986,45.683720801099994,-0.013483500911738586,-125.68237944180001,15.308080625615766
4033639786957934336,2848.14185731,133,25,0.18796992481203006,21.414600430902254,-199.46835851,28.481418573099997,-0.1073583830080432,-125.68237944180001,9.520676704967995
