Port_IDs,total_profit,total_positions,win_positions,win_rate,avg_trade,fees,ROI,sharpe_ratio,MDD,rank
4020204877254599680,70638.37124428,5598,1832,0.3272597356198642,12.618501472718828,-11032.46942028,706.3837124428,-0.0011437603850977703,-125.68237944180001,235.5699428060116
3999240873283311617,42169.18968029,4371,2277,0.5209334248455731,9.647492491487075,-1855.23921156,421.6918968029,-0.005200133994243721,-125.68237944180001,140.7358766979171
4021669203289716224,26438.767141610002,1616,511,0.3162128712871287,16.360623231194307,-1525.79786874,264.38767141610003,-0.01072266750818368,-125.68237944180001,88.23105387329299
3960874214179953664,19277.53925264,2231,1129,0.5060510981622591,8.640761655150156,-1932.55205973,192.7753925264,-0.0044711663065663395,-125.68237944180001,64.42565748608523
3907081197088384000,16989.11413284,3951,2409,0.6097190584662111,4.299952956932422,-606.98683897,169.8911413284,-0.007084095866442576,-125.68237944180001,56.83125876366659
3956076827719377409,16618.82917513,3833,1963,0.5121314896947561,4.335723760795721,-632.65180369,166.1882917513,-0.006853254405515345,-125.68237944180001,55.56452332886308
3986814617275053313,15847.59634446,3390,2641,0.7790560471976401,4.674807181256638,-617.7256357,158.4759634446,-0.007567772666515931,-125.68237944180001,53.08248390637704
4028701921959171840,15750.62151397,591,296,0.5008460236886633,26.650797823976312,-2033.75965882,157.5062151397,-0.013104202214060667,-125.68237944180001,52.66465232039153
4022565861939831809,13807.94979679,631,332,0.526148969889065,21.88264627066561,-2575.54735559,138.0794979679,-0.008496309036279704,-125.68237944180001,46.19905020958427
3919965573764932864,-70.37315359,1,0,0.0,-70.37315359,-0.50586087,-0.7037315359,139.11562993595453,-125.68237944180001,46.137299466684844
3788465932399412480,13209.20607365,2759,1249,0.4527002537151142,4.787678895849946,-695.26617747,132.0920607365,-0.006886109307476746,-125.68237944180001,44.17929162696921
3987739404272887297,12435.873935149999,5665,1312,0.23159752868490732,2.1952116390379524,-1049.70595383,124.35873935149999,-0.0020912633971717637,-125.68237944180001,41.5294152055959
4008711265867865600,10579.77814317,363,148,0.40771349862258954,29.145394333801654,-782.57110984,105.7977814317,-0.03724312585441668,-125.68237944180001,35.38941726815606
3936410995029308417,10681.514,19,6,0.3157894736842105,562.184947368421,-176.24714699,106.81513999999999,-3.1897534625075012,-125.68237944180001,34.647058670392234
3931992636670880512,10169.88944223,5672,2290,0.403737658674189,1.7929988438346263,-783.6692619,101.6988944223,-0.0022879535168797032,-125.68237944180001,34.033448042485766
3998572645139652353,9432.8412635,247,86,0.3481781376518219,38.18964074291498,-597.1606282,94.328412635,-0.0639520406059399,-125.68237944180001,31.5375462440153
3939318616482048768,9406.8656064,190,109,0.5736842105263158,49.50981898105263,-442.62665428,94.06865606400001,-0.1118545810612963,-125.68237944180001,31.510161897821675
3962024093501274881,9417.35359449,1125,289,0.2568888888888889,8.37098097288,-2765.06578257,94.1735359449,-0.003027407530644556,-125.68237944180001,31.475799142086085
4031493134338259457,8887.1737933,1668,632,0.37889688249400477,5.328041842505995,-3789.7112106600002,88.871737933,-0.0014059229176932682,-125.68237944180001,29.749742964192105
3944088772635000577,7471.56897874,5811,2676,0.4605059370160041,1.2857630319635174,-508.23178259,74.7156897874,-0.002529875297076346,-125.68237944180001,25.057888616372978
